,Country_Region,Date,ConfirmedCases,Fatalities,Lat,Long
3888,Dominican Republic,5/7/2020,1612,101,18.7357,-70.1627
3969,Ecuador,5/7/2020,2464,521,-1.8312,-78.1834
4050,Egypt,5/7/2020,1008,168,26,30
4131,El Salvador,5/7/2020,1401,1,13.698889,-89.191389
4212,Equatorial Guinea,5/7/2020,1138,0,1.5,10
4293,Eritrea,5/7/2020,1237,0,15.322778,38.925
4374,Estonia,5/7/2020,2035,468,58.5953,25.0136
4455,Eswatini,5/7/2020,1354,0,-26.5225,31.4659
4536,Ethiopia,5/7/2020,1203,0,9.145,40.4897
4617,Fiji,5/7/2020,1322,0,-18.166667,178.45
4698,Finland,5/7/2020,2031,457,64,26
4779,France,5/7/2020,57340,3699,3.9339,-53.1258
4860,France,5/7/2020,57340,3699,-17.6797,149.4068
4941,France,5/7/2020,57340,3699,16.25,-61.5833
5022,France,5/7/2020,57340,3699,14.666667,-61
5103,France,5/7/2020,57340,3699,-12.8275,45.1662
5184,France,5/7/2020,57340,3699,-22.2758,166.458
5265,France,5/7/2020,57340,3699,-21.1351,55.2471
5346,France,5/7/2020,57340,3699,17.9,-62.8333
5427,France,5/7/2020,57340,3699,46.7778,-56.1778
5508,France,5/7/2020,57340,3699,18.0708,-63.0501
5589,France,5/7/2020,57340,3699,46.2276,2.2137
5670,Gabon,5/7/2020,1444,1,-0.8037,11.6094
5751,Gambia,5/7/2020,348,1,13.4432,-15.3101
5832,Georgia,5/7/2020,205,0,42.3154,43.3569
5913,Germany,5/7/2020,78988,813,51,9
5994,Ghana,5/7/2020,2044,519,7.9465,-1.0232
6075,Greece,5/7/2020,1738,178,39.0742,21.8243
6156,Grenada,5/7/2020,740,0,12.05,-61.75
6237,Guatemala,5/7/2020,315,1,15.7835,-90.2308
6318,Guinea,5/7/2020,1346,0,9.9456,-9.6966
6399,Guinea-Bissau,5/7/2020,1273,0,11.85,-15.566667
6480,Guyana,5/7/2020,13,2,5,-58.75
6561,Haiti,5/7/2020,830,0,18.533333,-72.333333
6642,Holy See,5/7/2020,1409,0,41.9029,12.4534
6723,Honduras,5/7/2020,2041,417,15.2,-86.2419
6804,Hungary,5/7/2020,997,163,47.1625,19.5033
6885,Iceland,5/7/2020,2027,252,64.9631,-19.0208
6966,India,5/7/2020,2019,537,21,78
7047,Indonesia,5/7/2020,1680,531,-0.7893,113.9213
7128,Iran,5/7/2020,49065,3042,32,53
7209,Iraq,5/7/2020,1052,183,33,44
7290,Ireland,5/7/2020,3558,541,53.1424,-7.6921
7371,Israel,5/7/2020,5893,541,31,35
7452,Italy,5/7/2020,116371,13049,43,12
7533,Jamaica,5/7/2020,255,1,18.1096,-77.2975
7614,Japan,5/7/2020,2148,539,36,138
7695,Jordan,5/7/2020,2040,358,31.24,36.51
7776,Kazakhstan,5/7/2020,2041,515,48.0196,66.9237
7857,Kenya,5/7/2020,1243,1,-0.0236,37.9062
7938,"Korea, South",5/7/2020,10764,542,36,128
8019,Kosovo,5/7/2020,283,1,42.666667,21.166667
8100,Kuwait,5/7/2020,317,0,29.5,47.75
8181,Kyrgyzstan,5/7/2020,1263,0,41.2044,74.7661
8262,Laos,5/7/2020,1177,0,17.966667,102.6
8343,Latvia,5/7/2020,1274,0,56.8796,24.6032
8424,Lebanon,5/7/2020,2032,265,33.8547,35.8623
8505,Liberia,5/7/2020,1423,0,6.4281,-9.4295
8586,Libya,5/7/2020,1285,0,32.887222,13.191389
8667,Liechtenstein,5/7/2020,187,0,47.14,9.55
8748,Lithuania,5/7/2020,2038,513,55.1694,23.8813
8829,Luxembourg,5/7/2020,2395,528,49.8153,6.1296
8910,MS Zaandam,5/7/2020,828,0,26.086111,-80.115278
8991,Madagascar,5/7/2020,1222,0,-18.933333,47.516667
9072,Malawi,5/7/2020,0,0,-13.983333,33.783333
9153,Malaysia,5/7/2020,3042,537,2.5,112.5
9234,Maldives,5/7/2020,306,0,3.2028,73.2207
9315,Mali,5/7/2020,1360,73,12.639167,-8.002778
9396,Malta,5/7/2020,278,0,35.9375,14.3754
9477,Mauritania,5/7/2020,652,1,21.0079,10.9408
9558,Mauritius,5/7/2020,2041,471,-20.2,57.5
9639,Mexico,5/7/2020,2027,536,23.6345,-102.5528
9720,Moldova,5/7/2020,2041,512,47.4116,28.3699
9801,Monaco,5/7/2020,293,1,43.7333,7.4167
9882,Mongolia,5/7/2020,1254,0,46.8625,103.8467
9963,Montenegro,5/7/2020,2040,124,42.5,19.3
10044,Morocco,5/7/2020,1012,169,31.7917,-7.0926
10125,Mozambique,5/7/2020,799,0,-25.966667,32.583333
10206,Namibia,5/7/2020,1326,0,-22.9576,18.4904
10287,Nepal,5/7/2020,1411,0,28.1667,84.25
10368,Netherlands,5/7/2020,13854,1090,12.5186,-70.0358
10449,Netherlands,5/7/2020,13854,1090,12.144444,-68.265556
10530,Netherlands,5/7/2020,13854,1090,12.1696,-68.99
10611,Netherlands,5/7/2020,13854,1090,18.052778,-63.0425
10692,Netherlands,5/7/2020,13854,1090,52.1326,5.2913
10773,New Zealand,5/7/2020,2038,518,-40.9006,174.886
10854,Nicaragua,5/7/2020,12,1,12.136389,-86.251389
10935,Niger,5/7/2020,676,48,13.511667,2.125278
11016,Nigeria,5/7/2020,2042,140,9.082,8.6753
11097,North Macedonia,5/7/2020,2038,468,41.6086,21.7453
11178,Norway,5/7/2020,5105,541,60.472,8.4689
11259,Oman,5/7/2020,1137,1,21,57
11340,Pakistan,5/7/2020,2131,539,30.3753,69.3451
11421,Panama,5/7/2020,2019,535,8.538,-80.7821
11502,Papua New Guinea,5/7/2020,1398,0,-9.478889,147.149444
11583,Paraguay,5/7/2020,2043,478,-23.4425,-58.4438
11664,Peru,5/7/2020,1970,367,-9.19,-75.0152
11745,Philippines,5/7/2020,2292,488,13,122
11826,Poland,5/7/2020,2542,532,51.9194,19.1451
11907,Portugal,5/7/2020,8187,542,39.3999,-8.2245
11988,Qatar,5/7/2020,1876,75,25.3548,51.1839
12069,Romania,5/7/2020,2469,535,45.9432,24.9668
12150,Russia,5/7/2020,2570,533,60,90
12231,Rwanda,5/7/2020,202,0,-1.9403,29.8739
12312,Saint Kitts and Nevis,5/7/2020,1285,0,17.3,-62.733333
12393,Saint Lucia,5/7/2020,1376,0,13.9094,-60.9789
12474,Saint Vincent and the Grenadines,5/7/2020,1447,0,12.9843,-61.2872
12555,San Marino,5/7/2020,1076,175,43.9424,12.4578
12636,Sao Tome and Principe,5/7/2020,0,0,0.336111,6.730556
12717,Saudi Arabia,5/7/2020,2041,527,24,45
12798,Senegal,5/7/2020,396,0,14.4974,-14.4524
12879,Serbia,5/7/2020,2036,448,44.0165,21.0059
12960,Seychelles,5/7/2020,1338,0,-4.6796,55.492
13041,Sierra Leone,5/7/2020,970,0,8.484444,-13.234444
13122,Singapore,5/7/2020,2026,199,1.2833,103.8333
13203,Slovakia,5/7/2020,1087,0,48.669,19.699
13284,Slovenia,5/7/2020,2027,421,46.1512,14.9955
13365,Somalia,5/7/2020,1399,0,5.1521,46.1996
13446,South Africa,5/7/2020,2042,517,-30.5595,22.9375
13527,South Sudan,5/7/2020,0,0,4.85,31.6
13608,Spain,5/7/2020,105515,8887,40,-4
13689,Sri Lanka,5/7/2020,270,2,7,81
13770,Sudan,5/7/2020,8,2,12.8628,30.2176
13851,Suriname,5/7/2020,1355,0,3.9193,-56.0278
13932,Sweden,5/7/2020,4878,541,63,16
14013,Switzerland,5/7/2020,18265,542,46.8182,8.2275
14094,Syria,5/7/2020,11,2,33.513056,36.291944
14175,Taiwan*,5/7/2020,510,5,23.7,121
14256,Tanzania,5/7/2020,238,1,-6.369,34.8888
14337,Thailand,5/7/2020,2042,528,15,101
14418,Timor-Leste,5/7/2020,1192,0,-8.566667,125.566667
14499,Togo,5/7/2020,352,1,8.6195,0.8248
14580,Trinidad and Tobago,5/7/2020,1505,12,10.6918,-61.2225
14661,Tunisia,5/7/2020,2042,447,34,9
14742,Turkey,5/7/2020,14884,542,38.9637,35.2433
14823,Uganda,5/7/2020,1153,0,0.313611,32.581111
14904,Ukraine,5/7/2020,2037,467,48.3794,31.1656
14985,United Arab Emirates,5/7/2020,2041,517,24,54
15066,United Kingdom,5/7/2020,27665,1878,18.220833,-63.051667
15147,United Kingdom,5/7/2020,27665,1878,32.293,-64.782
15228,United Kingdom,5/7/2020,27665,1878,18.431389,-64.623056
15309,United Kingdom,5/7/2020,27665,1878,19.3133,-81.2546
15390,United Kingdom,5/7/2020,27665,1878,49.3723,-2.3644
15471,United Kingdom,5/7/2020,27665,1878,-51.694444,-57.852778
15552,United Kingdom,5/7/2020,27665,1878,36.1408,-5.3536
15633,United Kingdom,5/7/2020,27665,1878,54.145,-4.482
15714,United Kingdom,5/7/2020,27665,1878,16.7425,-62.1874
15795,United Kingdom,5/7/2020,27665,1878,21.783333,-72.283333
15876,United Kingdom,5/7/2020,27665,1878,55.3781,-3.436
15915,United States of America,5/7/2020,103536,5342,37.1358,-95.7845
15957,Uruguay,5/7/2020,2041,501,-32.5228,-55.7658
16038,Uzbekistan,5/7/2020,2042,118,41.3775,64.5853
16119,Venezuela,5/7/2020,388,4,6.4238,-66.5897
16200,Vietnam,5/7/2020,238,0,16,108
16281,West Bank and Gaza,5/7/2020,232,1,31.703056,35.195556
16362,Western Sahara,5/7/2020,0,0,27.153611,-13.203333
16443,Zambia,5/7/2020,359,0,-15.4167,28.2833
16524,Zimbabwe,5/7/2020,14,1,-17.829167,31.052222
